folioviv,ingreso_trimestral,educacion_jefe
0901997804,45196.72,7
0901997805,12540.97,3
0901997806,31721.3,6
0902008001,20372.760000000002,9
0902008002,47533.67,3
0902008003,51627.71,6
0902008004,89236.90999999999,6
0902008005,38347.81,8
0902008006,13206.52,6
0902081301,117635.83,8
0902081302,75790.72,8
0902081303,21130.43,4
0902081304,97214.65,7
0902081305,166940.19,5
0902081306,36684.770000000004,10
0902133501,57769.21,10
0902133503,58010.85,8
0902133504,82027.14,10
0902133505,23478.26,10
0902133506,66409.19,5
0902171001,26413.04,9
0902171002,63268.979999999996,3
0902171003,74885.83,10
0902171004,38347.799999999996,10
0902171005,123040.73,10
0902171006,80990.19,6
0902396301,46222.81,10
0902396303,110543.45,10
0902396304,46956.52,8
0902396305,74836.94,10
0902396306,9743.46,4
0902457501,59551.61,11
0902457502,55883.14,11
0902457503,64614.10999999999,10
0902457504,50624.99,10
0902457505,56739.11,10
0902457506,62095.09,10
0902518302,19592.09,6
0902518303,14942.92,5
0902518304,51187.47,8
0902518305,79239.13,8
0902518306,39619.549999999996,9
0902587701,76721.31,8
0902587702,36201.62,7
0902587703,39836.05,8
0902587704,61032.770000000004,8
0902587706,79672.13,8
0902609901,58695.64,8
0902609902,45440.2,6
0902609903,20254.879999999997,6
0902609904,27880.43,8
0902609905,44608.68,9
0902609906,22255.420000000002,4
0902616201,1218232.02,11
0902616202,125080.09999999999,6
0902616203,255455.79,11
0902616204,1192872.89,11
0902616205,40972.36,5
0902616206,83560.75,10
0902628501,264130.43,10
0902628502,131595.61000000002,9
0902628503,76304.34,6
0902628504,31793.47,6
0902628505,31499.989999999998,6
0902628506,126880.40000000001,9
0902630701,304327.86,11
0902630702,450761.31,11
0902630703,93442.62,11
0902630704,74163.92,6
0902630706,103278.68,10
0902641701,54049.15,6
0902641702,31893.43,6
0902641703,84464.25,8
0902641704,36590.15,4
0902641705,206541.6,6
0902641706,87127.84,6
0902646401,57541.28,10
0902646402,50502.700000000004,6
0902646403,27767.910000000003,3
0902646404,40382.56,8
0902646405,52033.66,6
0902646406,18733.67,6
0902652203,283425.41,11
0902652206,238674.03,11
0902682901,78138.56,10
0902682903,37296.159999999996,7
0902682904,36562.46,6
0902682905,53657.6,6
0902682906,11690.2,4
0902702201,54944.729999999996,6
0902702202,72770.7,4
0902702203,35055.23,8
0902702204,100690.59,10
0902702205,61284.5,6
0902702206,47038.65,7
0902738401,34972.81,10
0902738402,77845.06,6
0902738403,24211.949999999997,4
0902738404,97219.54,3
0902738405,109452.64,6
0902738406,44569.549999999996,6
0902746601,68901.6,4
0902746602,30393.410000000003,8
0902746603,26510.64,4
0902746604,37573.76,4
0902746605,33295.07,6
0902746606,48049.17,8
0902756801,23606.55,7
0902756802,24954.09,4
0902756803,26921.31,8
0902756804,41999.98,6
0902756805,60393.420000000006,4
0902756806,21491.79,1
0902761003,58695.64,9
0902761004,47390.84,6
0902761005,45885.299999999996,4
0902761006,35902.159999999996,4
0902762602,70549.17,6
0902762603,59577.020000000004,4
0902762604,30122.93,3
0902762605,103278.68,8
0902762606,94918.03,9
0902767801,94618.01,5
0902767802,63860.62,8
0902767803,40573.75,4
0902767804,73770.48000000001,10
0902767805,55032.78,8
0902767806,24860.64,3
0902784401,687228.25,11
0902784402,1017635.83,11
0902784405,425812.46,10
0902784406,299127.71,10
0902808301,34982.6,6
0902808302,54254.340000000004,9
0902808303,73232.59,9
0902808304,20543.47,6
0902808305,29127.7,4
0902808306,47005.409999999996,4
0902809002,49979.31,8
0902809003,34581.51,6
0902809005,30203.79,6
0902809006,56934.759999999995,3
0902841501,7840.74,4
0902841502,34263.54,5
0902841503,17936.39,6
0902841504,14209.22,3
0902841506,29600.21,8
0902953701,67377.02,6
0902953702,102540.97,10
0902953703,23704.91,4
0902953704,30762.27,8
0902953705,51147.509999999995,8
0902953706,87786.85,10
0903073301,63293.46,6
0903073302,105652.16,10
0903073304,50092.82,6
0903073305,45589.88,10
0903073306,33016.29,10
0903277502,52056.16,8
0903277503,48277.16,6
0903277504,46956.509999999995,8
0903277505,70890.61,4
0903277506,52385.86,4
0903307701,52131.12,8
0903307702,82131.14,10
0903307703,42762.28,6
0903307704,48073.729999999996,6
0903307705,27491.79,6
0903307706,63402.28,6
0903379901,23184.769999999997,4
0903379902,32086.92,6
0903379903,34923.9,6
0903379904,709.23,5
0903379905,76138.04000000001,10
0903379906,29347.809999999998,6
0903446901,14673.91,6
0903446902,24945.649999999998,10
0903446903,98804.34,10
0903446904,35217.39,10
0903446905,69505.41,8
0903446906,10760.86,6
0903701201,49723.75,10
0903701202,72596.68,10
0903701203,14022.09,3
0903701204,55491.69,6
0903701205,65088.38,6
